area_num_1,CommunityAreaNumber,community,PercentofHousingCrowded,PercentHouseholdsBelowPoverty,PercentAged16Unemployed,PercentAged25WithoutHighSchoolDiploma,PercentAgedUnder18orover64,PerCapitaIncome,HardshipIndex,latitude,longitude
64,64,CLEARING,2.7,8.9,9.5,18.8,37.6,25113,29,41.7784,-87.7692
65,65,WEST LAWN,5.8,14.9,9.6,33.6,39.6,16907,56,41.7728,-87.7223
66,66,CHICAGO LAWN,7.6,27.9,17.1,31.2,40.6,13231,80,41.7754097,-87.6963425
67,67,WEST ENGLEWOOD,4.8,34.4,35.9,26.3,40.7,11317,89,41.7775803,-87.6672287
68,68,ENGLEWOOD,3.8,46.6,28,28.5,42.5,11888,94,41.7753,-87.6416
69,69,GREATER GRAND CROSSING,3.6,29.6,23,16.5,41,17285,66,41.7620583,-87.6145782
70,70,ASHBURN,4,10.4,11.7,17.7,36.9,23482,37,41.7479,-87.7072
71,71,AUBURN GRESHAM,4,27.6,28.3,18.5,41.9,15528,74,41.7431908,-87.6550369
72,72,BEVERLY,0.9,5.1,8,3.7,40.5,39523,12,41.7171,-87.6762
73,73,WASHINGTON HEIGHTS,1.1,16.9,20.8,13.7,42.6,19713,48,41.716,-87.6506
74,74,MOUNT GREENWOOD,1,3.4,8.7,4.3,36.8,34381,16,41.6914406,-87.7087326
75,75,MORGAN PARK,0.8,13.2,15,10.8,40.3,27149,30,41.6878,-87.669
76,76,OHARE,3.6,15.4,7.1,10.9,30.3,25828,24,41.9663696,-87.8485794
77,77,EDGEWATER,4.1,18.2,9.2,9.7,23.8,33385,19,41.9872,-87.6612
